,Name,Category,Calories,Fat,Carbs,restaurant
0,Original Bacon Double Cheeseburger,Burgers,760,45,45,A&W Restaurants
1,Coney (Chili) Dog,Entrees,340,20,20,A&W Restaurants
2,Chili Fries,French Fries,370,15,15,A&W Restaurants
3,Strawberry Milkshake (small),Shakes,670,29,29,A&W Restaurants
4,A&W® Root Beer Freeze (large),Shakes,820,18,18,A&W Restaurants
5,Caramel Sundae,Desserts,340,9,9,A&W Restaurants
6,Strawberry Banana Smoothee,Shakes,420,6,6,A&W Restaurants
7,Chocolate Fudge Blendrrr,Desserts,1010,59,59,A&W Restaurants
8,Strawberry Limeade,Drinks,420,0,0,A&W Restaurants
9,Watermelon Slushee,Drinks,270,0,0,A&W Restaurants
10,Lime Slushee,Drinks,480,0,0,A&W Restaurants
11,A&W® Root Beer,Drinks,880,0,0,A&W Restaurants
12,Cheeseburger,Burgers,420,21,21,A&W Restaurants
13,French Fries (Regular),French Fries,310,12,12,A&W Restaurants
14,Cheese Curds (Large),Sides,1140,80,80,A&W Restaurants
15,Chocolate Milkshake (small),Shakes,700,29,29,A&W Restaurants
16,Orange Freeze (small),Shakes,450,8,8,A&W Restaurants
17,A&W® Diet Root Beer Float (small),Shakes,170,5,5,A&W Restaurants
18,Strawberry Smoothee,Shakes,610,10,10,A&W Restaurants
19,Limeade,Drinks,140,0,0,A&W Restaurants
20,Cherry Limeade,Drinks,340,0,0,A&W Restaurants
21,Lemon Slushee,Drinks,330,0,0,A&W Restaurants
22,Blue Raspberry Slushee,Drinks,570,0,0,A&W Restaurants
23,A&W® Diet Root Beer,Drinks,0,0,0,A&W Restaurants
24,Grilled Chicken Sandwich,Chicken,400,15,15,A&W Restaurants
25,French Fries (Large),French Fries,430,17,17,A&W Restaurants
26,Chili,Sides,190,6,6,A&W Restaurants
27,Chocolate Milkshake (medium),Shakes,880,36,36,A&W Restaurants
28,Orange Freeze (medium),Shakes,600,10,10,A&W Restaurants
29,A&W® Diet Root Beer Float (medium),Shakes,170,5,5,A&W Restaurants
30,Orange Float (large),Shakes,610,9,9,A&W Restaurants
31,Reese's® Peanut Butter Fudge Blendrrr,Desserts,700,41,41,A&W Restaurants
32,Limeade,Drinks,210,0,0,A&W Restaurants
33,Cherry Limeade,Drinks,530,0,0,A&W Restaurants
34,Lemon Slushee,Drinks,440,0,0,A&W Restaurants
35,Blue Raspberry Slushee,Drinks,740,0,0,A&W Restaurants
36,A&W® Diet Root Beer,Drinks,0,0,0,A&W Restaurants
37,Original Double Cheeseburger,Burgers,680,38,38,A&W Restaurants
38,Coney (Chili) Cheese Dog,Entrees,380,23,23,A&W Restaurants
39,Breaded Onion Rings (Regular),Sides,350,16,16,A&W Restaurants
40,Strawberry Milkshake (medium),Shakes,840,36,36,A&W Restaurants
41,A&W® Diet Root Beer Freeze (small),Shakes,260,8,8,A&W Restaurants
42,A&W® Root Beer Float (small),Shakes,330,5,5,A&W Restaurants
43,Strawberry Banana Smoothee,Shakes,680,10,10,A&W Restaurants
44,Oreo® Cookies & Cream Blendrrr,Desserts,340,12,12,A&W Restaurants
45,Strawberry Limeade,Drinks,560,0,0,A&W Restaurants
46,Watermelon Slushee,Drinks,360,0,0,A&W Restaurants
47,Lime Slushee,Drinks,770,0,0,A&W Restaurants
48,A&W® Root Beer,Drinks,1760,0,0,A&W Restaurants
49,Papa Single Burger,Burgers,470,25,25,A&W Restaurants
50,Hot Dog (plain),Entrees,310,19,19,A&W Restaurants
51,Cheese Fries,French Fries,390,18,18,A&W Restaurants
52,Reese's® Polar Swirl®,Desserts,740,31,31,A&W Restaurants
53,A&W® Root Beer Freeze (medium),Shakes,480,10,10,A&W Restaurants
54,Hot Fudge Sundae,Desserts,350,11,11,A&W Restaurants
55,Strawberry Banana Smoothee,Shakes,390,6,6,A&W Restaurants
56,Chocolate Fudge Blendrrr,Desserts,560,32,32,A&W Restaurants
57,Strawberry Limeade,Drinks,290,0,0,A&W Restaurants
58,Cherry Slushee,Drinks,900,0,0,A&W Restaurants
59,Lime Slushee,Drinks,380,0,0,A&W Restaurants
60,A&W® Root Beer,Drinks,440,0,0,A&W Restaurants
61,Original Bacon Cheeseburger ,Burgers,530,30,30,A&W Restaurants
62,Cheese Dog,Entrees,350,22,22,A&W Restaurants
63,Breaded Onion Rings (Large),Sides,480,27,27,A&W Restaurants
64,Vanilla Milkshake (small),Shakes,720,31,31,A&W Restaurants
65,A&W® Diet Root Beer Freeze (medium),Shakes,340,10,10,A&W Restaurants
66,A&W® Root Beer Float (medium),Shakes,350,5,5,A&W Restaurants
67,Strawberry Smoothee,Shakes,360,6,6,A&W Restaurants
68,Oreo® Cookies & Cream Blendrrr,Desserts,430,15,15,A&W Restaurants
69,Cherry Limeade,Drinks,190,0,0,A&W Restaurants
70,Watermelon Slushee,Drinks,460,0,0,A&W Restaurants
71,Blue Raspberry Slushee,Drinks,270,0,0,A&W Restaurants
72,A&W® Diet Root Beer,Drinks,0,0,0,A&W Restaurants
73,Hamburger,Burgers,380,19,19,A&W Restaurants
74,French Fries (Small/ Kids),French Fries,200,8,8,A&W Restaurants
75,Cheese Curds (Regular),Sides,570,40,40,A&W Restaurants
76,Vanilla Milkshake (medium,Shakes,900,39,39,A&W Restaurants
77,A&W® Diet Root Beer Freeze (large),Shakes,600,18,18,A&W Restaurants
78,A&W® Root Beer Float (large),Shakes,640,10,10,A&W Restaurants
79,Strawberry Smoothee,Shakes,370,6,6,A&W Restaurants
80,Oreo® Cookies & Cream Blendrrr,Desserts,650,21,21,A&W Restaurants
81,Cherry Limeade,Drinks,300,0,0,A&W Restaurants
82,Watermelon Slushee,Drinks,720,0,0,A&W Restaurants
83,Blue Raspberry Slushee,Drinks,370,0,0,A&W Restaurants
84,A&W® Diet Root Beer,Drinks,0,0,0,A&W Restaurants
85,Chicken Strips- 3 pieces,Chicken,500,29,29,A&W Restaurants
86,Corn Dog Nuggets® (Regular),Sides,280,13,13,A&W Restaurants
87,M&M's® Polar Swirl®,Desserts,710,25,25,A&W Restaurants
88,Vanilla Cone (large),Desserts,260,7,7,A&W Restaurants
89,Strawberry Sundae,Desserts,300,8,8,A&W Restaurants
90,Pineapple Banana Smoothee,Shakes,480,6,6,A&W Restaurants
91,Reese's® Peanut Butter Fudge Blendrrr,Desserts,1360,79,79,A&W Restaurants
92,Limeade,Drinks,390,0,0,A&W Restaurants
93,Cherry Slushee,Drinks,450,0,0,A&W Restaurants
94,Lemon Slushee,Drinks,890,0,0,A&W Restaurants
95,A&W® Root Beer,Drinks,220,0,0,A&W Restaurants
96,A&W® Diet Root Beer,Drinks,0,0,0,A&W Restaurants
97,Crispy Chicken Sandwich,Chicken,550,25,25,A&W Restaurants
98,Corn Dog Nuggets® (Small/ Kids),Sides,180,8,8,A&W Restaurants
99,Extra Burger Patty,Sides,170,12,12,A&W Restaurants
100,Vanilla Cone (regular),Desserts,200,5,5,A&W Restaurants
101,Orange Freeze (medium),Shakes,970,18,18,A&W Restaurants
102,A&W® Diet Root Beer Float (large),Shakes,350,10,10,A&W Restaurants
103,Pineapple Banana Smoothee,Shakes,400,6,6,A&W Restaurants
104,Reese's® Peanut Butter Fudge Blendrrr,Desserts,710,41,41,A&W Restaurants
105,Limeade,Drinks,250,0,0,A&W Restaurants
106,Cherry Slushee,Drinks,330,0,0,A&W Restaurants
107,Lemon Slushee,Drinks,560,0,0,A&W Restaurants
108,A&W® Root Beer,Drinks,160,0,0,A&W Restaurants
109,A&W® Diet Root Beer,Drinks,0,0,0,A&W Restaurants
110,Papa Burger®,Burgers,690,39,39,A&W Restaurants
111,Crunchy Shrimp,Seafood,340,19,19,A&W Restaurants
112,Chili Cheese Fries,French Fries,410,17,17,A&W Restaurants
113,Oreo® Polar Swirl®,Desserts,690,24,24,A&W Restaurants
114,A&W® Root Beer Freeze (small),Shakes,370,8,8,A&W Restaurants
115,Chocolate Sundae,Desserts,320,8,8,A&W Restaurants
116,Pineapple Banana Smoothee,Shakes,750,10,10,A&W Restaurants
117,Chocolate Fudge Blendrrr,Desserts,490,30,30,A&W Restaurants
118,Strawberry Limeade,Drinks,230,0,0,A&W Restaurants
119,Cherry Slushee,Drinks,570,0,0,A&W Restaurants
120,Lime Slushee,Drinks,280,0,0,A&W Restaurants
121,A&W® Root Beer,Drinks,270,0,0,A&W Restaurants
122,Applebee’s House Salad (without dressing),Salads,180,15,15,Applebee's
123,Baked Potato,Sides,430,28,28,Applebee's
124,"Boneless Wings, Southern BBQ",Appetizers,1110,55,55,Applebee's
125,"Bruschetta Chicken Salad, Half w/o dressing ",Salads,580,30,30,Applebee's
126,Cheese Quesadilla Grande,Appetizers,1130,87,87,Applebee's
127,Chicken Fettuccine Carbonara ,Entrees,1440,82,82,Applebee's
128,Chicken Tortilla Soup,Soups,140,7,7,Applebee's
129,Classic Club House Grill,Sandwiches,1150,67,67,Applebee's
130,"Crunchy Onion Rings, Side",Sides,530,28,28,Applebee's
131,French Onion Soup ,Soups,260,14,14,Applebee's
132,Frozen Lemonades,Drinks,255,0,0,Applebee's
133,Grilled Shrimp ‘N Spinach Salad,Salads,260,15,15,Applebee's
134,"Grilled Steak Caesar, Half w/o dressing",Salads,230,10,10,Applebee's
135,House Sirloin,Entrees,250,12,12,Applebee's
136,Kids Grape Juice (6.75 oz),Kid's Meals,80,0,0,Applebee's
137,Kids Mini Hamburger – 1,Kid's Meals,390,27,27,Applebee's
138,Kids Vanilla Sundae with Hershey’s Syrup,Kid's Meals,330,14,14,Applebee's
139,Oriental Chicken Salad,Salads,420,29,29,Applebee's
140,"Pecan-Crusted Chicken Salad, Half",Salads,820,48,48,Applebee's
141,Queso Blanco,Appetizers,1330,82,82,Applebee's
142,"Santa Fe Chicken Salad, Regular w/o dressing",Salads,870,56,56,Applebee's
143,Sizzling Skillet Fajitas - Combo,Entrees,1430,60,60,Applebee's
144,Spinach & Artichoke Dip,Appetizers,1525,102,102,Applebee's
145,Teriyaki Chicken Pasta ,Entrees,450,8,8,Applebee's
146,Trios Chicken Quesadilla Grande,Appetizers,650,47,47,Applebee's
147,Trios Spinach Artichoke Dip,Appetizers,560,39,39,Applebee's
148,Weight Watchers® Spicy Pineapple Glazed Shrimp & Spinach ,Seafood,310,5,5,Applebee's
149,Applebee’s House Salad,Salads,180,15,15,Applebee's
150,Bacon Cheese Chicken Grill,Sandwiches,750,33,33,Applebee's
151,"Boneless Wings, Hot Buffalo",Appetizers,1170,69,69,Applebee's
152,"Bruschetta Chicken Salad, Half ",Salads,740,44,44,Applebee's
153,California Turkey Club,Sandwiches,970,55,55,Applebee's
154,Chicken Fajita Rollup,Sandwiches,560,41,41,Applebee's
155,Chicken Tortilla Soup,Soups,180,8,8,Applebee's
156,Clam Chowder,Soups,290,20,20,Applebee's
157,Crunchy Onion Rings,Appetizers,1290,56,56,Applebee's
158,French Dip Sliders,Burgers,590,36,36,Applebee's
159,"Fries, Side",Kid's Meals,390,18,18,Applebee's
160,Grilled Dijon Chicken & Portobellos ,Chicken,470,16,16,Applebee's
161,"Grilled Steak Caesar, Half",Salads,460,34,34,Applebee's
162,House Sirloin,Entrees,310,13,13,Applebee's
163,Kids Fried Shrimp,Kid's Meals,230,14,14,Applebee's
164,Kids Mini Cheeseburgers – 2,Kid's Meals,740,46,46,Applebee's
165,Kids Vanilla Sundae,Kid's Meals,230,14,14,Applebee's
166,Oriental Chicken Rollup,Sandwiches,1160,60,60,Applebee's
167,"Oriental Grilled Chicken Salad, Regular w/o dressing",Salads,590,19,19,Applebee's
168,Quesadilla Burger,Burgers,1240,103,103,Applebee's
169,"Santa Fe Chicken Salad, Regular",Salads,1240,93,93,Applebee's
170,Sizzling Skillet Fajitas - Chicken,Entrees,1370,52,52,Applebee's
171,Spicy Chili Cheese Nachos,Appetizers,1610,103,103,Applebee's
172,Stuffed Meatball Sandwich,Sandwiches,1090,58,58,Applebee's
173,Trios Cheeseburger Sliders,Appetizers,880,59,59,Applebee's
174,Trios Spicy Queso Blanco,Appetizers,520,33,33,Applebee's
175,Weight Watchers® Paradise Chicken Salad ,Salads,340,4,4,Applebee's
176,Appetizer Sampler,Appetizers,2375,162,162,Applebee's
177,Applebee’s Riblets Basket  ,Ribs,1115,55,55,Applebee's
178,Black Bean Soup,Soups,190,9,9,Applebee's
179,Breadstick,Sides,290,19,19,Applebee's
180,Cajun Shrimp Pasta ,Entrees,1170,69,69,Applebee's
181,Cheeseburger Sliders with Applewood Smoked Bacon,Burgers,1330,87,87,Applebee's
182,Chicken Noodle Soup,Soups,110,3,3,Applebee's
183,Chili Cheese Nachos,Appetizers,1680,107,107,Applebee's
184,"Classic Wings, Southern BBQ",Appetizers,660,35,35,Applebee's
185,Double-Glazed Baby Back Ribs - Half Rack  ,Ribs,935,49,49,Applebee's
186,"Fried Chicken Salad, Half w/o dressing",Salads,310,23,23,Applebee's
187,"Grilled Chicken Caesar, Half w/o dressing ",Salads,180,5,5,Applebee's
188,"Grilled Shrimp ‘N Spinach Salad, Regular w/o dressing",Salads,680,51,51,Applebee's
189,Hand-Battered Fish & Chips ,Seafood,1570,106,106,Applebee's
190,Kids Celery side with Dressing,Kid's Meals,220,22,22,Applebee's
191,Kids Hot Dog,Kid's Meals,330,18,18,Applebee's
192,Kids OREO® Cookie Sundae,Kid's Meals,360,19,19,Applebee's
193,Margherita Chicken ,Chicken,800,30,30,Applebee's
194,"Oriental Chicken Salad, Regular w/o dressing",Salads,680,41,41,Applebee's
195,Philly Burger,Burgers,1130,67,67,Applebee's
196,Riblet and Chicken Tenders Basket ,Chicken,1295,73,73,Applebee's
197,Signature Sirloin with Garlic Herb Shrimp,Entrees,500,21,21,Applebee's
198,Sizzling Steak & Cheese,Entrees,1050,65,65,Applebee's
199,Steak & Honey BBQ Chicken Combo,Entrees,600,15,15,Applebee's
200,Toasted Garlic Bread Basket ,Sides,1120,78,78,Applebee's
201,"Trios Boneless Wings, Honey BBQ",Appetizers,620,28,28,Applebee's
202,"Trios Classic Wings, Southern BBQ",Appetizers,330,17,17,Applebee's
203,Triple Chocolate Meltdown® ,Desserts,820,48,48,Applebee's
204,Wonton Tacos,Appetizers,495,23,23,Applebee's
205,"Apple Walnut Chicken Salad, Half",Salads,630,43,43,Applebee's
206,Applebee’s Riblets Platter  ,Ribs,1705,86,86,Applebee's
207,Blackened Tilapia Sandwich,Sandwiches,740,42,42,Applebee's
208,Broccoli Cheddar Soup,Soups,340,26,26,Applebee's
209,"California Shrimp Salad, Half ",Salads,500,42,42,Applebee's
210,Cheesy Corn ,Sides,350,20,20,Applebee's
211,Chicken Parmesan Stack ,Chicken,1690,95,95,Applebee's
212,Chips and Spicy Chipotle Lime Salsa,Appetizers,960,53,53,Applebee's
213,"Classic Wings, Sweet & spicy sauce",Appetizers,690,35,35,Applebee's
214,Fiesta Lime Chicken® ,Chicken,1160,67,67,Applebee's
215,"Fried Chicken Salad, Regular",Salads,980,79,79,Applebee's
216,"Grilled Chicken Caesar, Regular ",Salads,820,57,57,Applebee's
217,Hand-Battered Fish Sandwich,Sandwiches,860,58,58,Applebee's
218,Kids Cheese Pizza,Kid's Meals,550,31,31,Applebee's
219,Kids Hot Fudge Sundae,Kid's Meals,350,18,18,Applebee's
220,Kids Pasta with Marinara Sauce,Kid's Meals,360,7,7,Applebee's
221,Mozzarella Sticks,Appetizers,940,48,48,Applebee's
222,Oriental Grilled Chicken Salad,Salads,430,21,21,Applebee's
223,Pork Wonton Tacos,Appetizers,820,41,41,Applebee's
224,Riblet and Chicken Tenders Platter ,Chicken,1800,101,101,Applebee's
225,Sizzling Apple Pie ,Desserts,900,33,33,Applebee's
226,Slow Simmered Tender Beef Sandwich,Sandwiches,980,50,50,Applebee's
227,Steak & Riblets Combo,Entrees,985,49,49,Applebee's
228,Tomato Basil Soup,Soups,220,13,13,Applebee's
229,"Trios Boneless Wings, Hot Buffalo",Appetizers,590,35,35,Applebee's
230,"Trios Classic Wings, Sweet & spicy sauce",Appetizers,350,18,18,Applebee's
231,Veggie Burger,Burgers,550,22,22,Applebee's
232,Zesty Ranch Chicken Sandwich,Sandwiches,1150,73,73,Applebee's
233,Applebee’s Limeades,Drinks,130,0,0,Applebee's
234,Baked Potato Soup,Soups,420,32,32,Applebee's
235,"Boneless Wings, Sweet & spicy sauce",Appetizers,1150,55,55,Applebee's
236,"Bruschetta Chicken Salad, Regular ",Salads,1110,66,66,Applebee's
237,Cheeseburger,Burgers,940,58,58,Applebee's
238,Chicken Fried Chicken ,Chicken,1230,59,59,Applebee's
239,Chili,Soups,310,26,26,Applebee's
240,"Classic Wings, Classic Buffalo",Appetizers,710,49,49,Applebee's
241,Decadent Shakes,Shakes,915,46,46,Applebee's
242,"Fresh Fruit, Side",Sides,90,0,0,Applebee's
243,Garlic Herb Salmon ,Seafood,690,29,29,Applebee's
244,"Grilled Shrimp ‘N Spinach Salad, Half",Salads,620,44,44,Applebee's
245,"Grilled Steak Caesar, Regular",Salads,910,68,68,Applebee's
246,Kids 4oz Sirloin Steak,Kid's Meals,140,7,7,Applebee's
247,Kids Grilled Cheese (Hawaiian bread),Kid's Meals,610,36,36,Applebee's
248,Kids Mini Hamburger – 2,Kid's Meals,660,40,40,Applebee's
249,Loaded Baked Potato  ,Sides,500,35,35,Applebee's
250,"Oriental Chicken Salad, Half",Salads,670,49,49,Applebee's
251,"Pecan-Crusted Chicken Salad, Half w/o dressing",Salads,580,31,31,Applebee's
252,Queso Blanco with chili,Appetizers,1440,89,89,Applebee's
253,"Seasonal Vegetables, Side",Sides,42,0,0,Applebee's
254,Sizzling Skillet Fajitas - Shrimp,Entrees,1400,65,65,Applebee's
255,Spinach Salad,Salads,230,15,15,Applebee's
256,Teriyaki Shrimp Pasta ,Entrees,440,8,8,Applebee's
257,Topper - Sautéed Garlic Mushrooms,Sides,130,12,12,Applebee's
258,"Trios Classic Wings, Classic Buffalo",Appetizers,360,24,24,Applebee's
259,Trios Steak Quesadilla Towers,Appetizers,560,38,38,Applebee's
260,Weight Watchers® Steak & Potato Salad ,Salads,380,12,12,Applebee's
261,Add Grilled Shrimp ,Sides,230,17,17,Applebee's
262,Applebee’s Reuben,Sandwiches,630,47,47,Applebee's
263,BBQ Pulled Pork Sliders,Burgers,1030,48,48,Applebee's
264,Bourbon Street Steak,Entrees,760,44,44,Applebee's
265,Caesar Salad,Salads,220,19,19,Applebee's
266,Cheeseburger Sliders add bacon,Burgers,1330,87,87,Applebee's
267,Chicken Noodle Soup,Soups,160,4,4,Applebee's
268,"Chili Cheese Fries, Side",French Fries,550,33,33,Applebee's
269,"Classic Wings, Hot Buffalo",Appetizers,720,49,49,Applebee's
270,Double-Glazed Baby Back Ribs  ,Ribs,1345,72,72,Applebee's
271,"Fried Chicken Salad, Half",Salads,530,42,42,Applebee's
272,"Grilled Chicken Caesar, Half",Salads,410,29,29,Applebee's
273,"Grilled Shrimp ‘N Spinach Salad, Regular",Salads,1010,69,69,Applebee's
274,Hamburger,Burgers,790,46,46,Applebee's
275,Kids Applesauce side,Kid's Meals,50,0,0,Applebee's
276,Kids Grilled Chicken Sandwich,Kid's Meals,230,5,5,Applebee's
277,Kids OREO® Cookie Milkshake,Kid's Meals,780,41,41,Applebee's
278,Maple Butter Blondie ,Desserts,1100,63,63,Applebee's
279,"Oriental Chicken Salad, Regular",Salads,1340,98,98,Applebee's
280,"Pecan-Crusted Chicken Salad, Regular w/o dressing",Salads,880,46,46,Applebee's
281,Ribeye,Entrees,670,47,47,Applebee's
282,Shrimp Fettuccine Alfredo ,Entrees,143,81,81,Applebee's
283,Sizzling Smokehouse Chicken Stack ,Entrees,1170,59,59,Applebee's
284,Steak & Grilled Shrimp Combo,Entrees,540,36,36,Applebee's
285,Three-Cheese Chicken Penne ,Entrees,1460,75,75,Applebee's
286,"Trios Boneless Wings, Classic Buffalo",Appetizers,580,35,35,Applebee's
287,"Trios Classic Wings, Hot Buffalo",Appetizers,360,25,25,Applebee's
288,Trios Wings Ranch Dipping Sauce,Appetizers,200,21,21,Applebee's
289,Wings Ranch Dipping Sauce,Appetizers,200,21,21,Applebee's
290,Add Fried Shrimp  ,Sides,390,21,21,Applebee's
291,Applebee’s Reuben,Sandwiches,1140,81,81,Applebee's
292,Baked Potato Soup,Soups,360,28,28,Applebee's
293,Bourbon Street Chicken & Shrimp,Entrees,750,45,45,Applebee's
294,"Bruschetta Chicken Salad, Regular w/o dressing ",Salads,790,36,36,Applebee's
295,Cheeseburger Sliders,Burgers,1270,82,82,Applebee's
296,"Chicken Fried Steak (includes mashed potato, gravy & vegetable)",Entrees,1260,61,61,Applebee's
297,Chili ,Soups,370,28,28,Applebee's
298,"Classic Wings, Honey BBQ",Appetizers,790,35,35,Applebee's
299,Double Crunch Shrimp ,Seafood,1280,69,69,Applebee's
300,Fried Chicken Salad,Salads,380,27,27,Applebee's
301,Garlic Mashed Potatoes  ,Sides,330,18,18,Applebee's
302,"Grilled Shrimp ‘N Spinach Salad, Half w/o dressing",Salads,460,35,35,Applebee's
303,"Grilled Steak Caesar, Regular w/o dressing",Salads,460,21,21,Applebee's
304,Kids Apple Juice (6.75 oz),Kid's Meals,70,0,0,Applebee's
305,Kids Grilled Cheese (sourdough bread),Kid's Meals,630,36,36,Applebee's
306,Kids Orange-Tangerine Juice (6.75 oz),Kid's Meals,70,0,0,Applebee's
307,Loaded Mashed Potatoes ,Sides,550,42,42,Applebee's
308,"Oriental Chicken Salad, Half w/o dressing",Salads,340,20,20,Applebee's
309,"Pecan-Crusted Chicken Salad, Regular",Salads,1350,80,80,Applebee's
310,Red Beans & Rice  ,Sides,290,6,6,Applebee's
311,Shrimp ‘N Parmesan Sirloin,Entrees,660,42,42,Applebee's
312,Sizzling Skillet Fajitas - Steak,Entrees,1410,55,55,Applebee's
313,Steak & Fried Shrimp Combo,Entrees,650,34,34,Applebee's
314,Three-Cheese Chicken Penne,Entrees,940,49,49,Applebee's
315,Topper - Shrimp ‘N Parmesan,Sides,230,15,15,Applebee's
316,"Trios Classic Wings, Honey BBQ",Appetizers,400,17,17,Applebee's
317,Trios Wings Bleu Cheese Dipping Sauce,Appetizers,240,26,26,Applebee's
318,Wings Bleu Cheese Dipping Sauce,Appetizers,240,26,26,Applebee's
319,"Apple Walnut Chicken Salad, Half w/o dressing",Salads,350,20,20,Applebee's
320,Asiago Peppercorn Steak,Entrees,380,14,14,Applebee's
321,Blue Ribbon Brownie ,Desserts,1310,63,63,Applebee's
322,Broccoli Cheddar Soup,Soups,280,23,23,Applebee's
323,"California Shrimp Salad, Half w/o dressing ",Salads,330,23,23,Applebee's
324,Chicken Broccoli Pasta Alfredo ,Entrees,1350,72,72,Applebee's
325,Chicken Quesadilla Grande,Appetizers,1290,90,90,Applebee's
326,Chocolate Chip Cookie Sundae ,Desserts,154,74,74,Applebee's
327,Cole Slaw,Sides,140,9,9,Applebee's
328,Fire Pit Bacon Burger,Burgers,1100,73,73,Applebee's
329,"Fried Chicken Salad, Regular w/o dressing",Salads,540,42,42,Applebee's
330,"Grilled Chicken Caesar, Regular w/o dressing ",Salads,370,10,10,Applebee's
331,Honey BBQ Chicken Sandwich,Sandwiches,1000,42,42,Applebee's
332,Kids Chicken Tenders,Kid's Meals,240,14,14,Applebee's
333,Kids Kraft Macaroni and Cheese,Kid's Meals,300,9,9,Applebee's
334,Kids Steamed Broccoli Side,Kid's Meals,30,0,0,Applebee's
335,New England Fish & Chips ,Seafood,1930,138,138,Applebee's
336,"Oriental Grilled Chicken Salad, Half",Salads,680,40,40,Applebee's
337,Potato Skins,Appetizers,1090,103,103,Applebee's
338,Santa Fe Chicken Salad,Salads,530,37,37,Applebee's
339,Sizzling Asian Shrimp,Entrees,850,33,33,Applebee's
340,Small Caesar Salad (with dressing) ,Sides,310,27,27,Applebee's
341,Steak Quesadilla Towers,Appetizers,1110,73,73,Applebee's
342,Tomato Basil Soup ,Soups,250,14,14,Applebee's
343,"Trios Boneless Wings, Southern BBQ",Appetizers,550,28,28,Applebee's
344,Trios Grilled Chicken Wonton Tacos,Appetizers,430,18,18,Applebee's
345,Veggie Patch™ Pizza,Appetizers,930,67,67,Applebee's
346,"Apple Walnut Chicken Salad, Regular",Salads,1030,67,67,Applebee's
347,Asiago Peppercorn Steak w/sides,Entrees,380,14,14,Applebee's
348,"Boneless Wings, Classic Buffalo",Appetizers,1160,69,69,Applebee's
349,Brownie Bite,Desserts,360,17,17,Applebee's
350,"California Shrimp Salad, Regular ",Salads,740,61,61,Applebee's
351,Chicken Caesar Salad,Salads,310,20,20,Applebee's
352,Chicken Tenders Basket ,Chicken,102,60,60,Applebee's
353,Chocolate Mousse Shooter ,Desserts,450,31,31,Applebee's
354,Cowboy Burger,Burgers,1180,70,70,Applebee's
355,Florentine Ravioli with Chicken ,Entrees,1300,82,82,Applebee's
356,Fried Red Potatoes,Sides,150,5,5,Applebee's
357,Grilled Chicken Wonton Tacos,Appetizers,590,24,24,Applebee's
358,Hot Fudge Sundae Shooter,Desserts,350,18,18,Applebee's
359,Kids Chocolate Milk (1% 8oz),Kid's Meals,215,4,4,Applebee's
360,Kids Milk (1% or 2% 8 oz),Kid's Meals,130,4,4,Applebee's
361,Kids Strawberry Sundae,Kid's Meals,260,14,14,Applebee's
362,New York Strip,Entrees,480,24,24,Applebee's
363,"Oriental Grilled Chicken Salad, Half w/o dressing",Salads,340,9,9,Applebee's
364,Potato Twisters,Appetizers,970,60,60,Applebee's
365,"Santa Fe Chicken Salad, Half",Salads,940,73,73,Applebee's
366,Sizzling Cajun Steak & Shrimp ,Entrees,850,41,41,Applebee's
367,Smothered Grilled Chicken ,Chicken,860,41,41,Applebee's
368,Steakhouse Burger with A.1.® Steak Sauce,Burgers,1250,84,84,Applebee's
369,"Trios Boneless Wings, Sweet & spicy sauce",Appetizers,570,28,28,Applebee's
370,Trios Mozzarella Sticks,Appetizers,430,21,21,Applebee's
371,Weight Watchers® Cajun Lime Tilapia ,Seafood,350,5,5,Applebee's
372,"Apple Walnut Chicken Salad, Regular w/o dressing",Salads,470,22,22,Applebee's
373,Bacon Cheddar Cheeseburger,Burgers,970,60,60,Applebee's
374,"Boneless Wings, Honey BBQ",Appetizers,1250,55,55,Applebee's
375,Bruschetta Chicken ,Chicken,850,42,42,Applebee's
376,"California Shrimp Salad, Regular w/o dressing ",Salads,380,24,24,Applebee's
377,Chicken Fajita Rollup,Sandwiches,850,62,62,Applebee's
378,Chicken Tenders Platter ,Chicken,1320,78,78,Applebee's
379,Clam Chowder,Soups,350,24,24,Applebee's
380,Crispy Orange Chicken ,Chicken,1520,53,53,Applebee's
381,French Dip Sliders,Burgers,840,49,49,Applebee's
382,"Fries, Side",French Fries,390,18,18,Applebee's
383,Grilled Dijon Chicken & Portobellos,Entrees,470,16,16,Applebee's
384,House Salad,Salads,120,8,8,Applebee's
385,Kids Corn Dog,Kid's Meals,260,14,14,Applebee's
386,Kids Mini Cheeseburger – 1,Kid's Meals,430,30,30,Applebee's
387,Kids Tropicana Fruit Punch (12 oz),Kid's Meals,70,0,0,Applebee's
388,Orange Glazed Salmon ,Seafood,730,17,17,Applebee's
389,"Oriental Grilled Chicken Salad, Regular",Salads,1290,79,79,Applebee's
390,Provolone-Stuffed Meatballs with Fettuccine ,Entrees,1520,90,90,Applebee's
391,"Santa Fe Chicken Salad, Half w/o dressing",Salads,760,55,55,Applebee's
392,Sizzling Chicken with Spicy Queso Blanco,Entrees,570,22,22,Applebee's
393,Southwest Jalapeño Burger,Burgers,1140,72,72,Applebee's
394,Strawberry Cheesecake Shooter ,Desserts,380,23,23,Applebee's
395,Trios Cheese Quesadilla Grande,Appetizers,510,44,44,Applebee's
396,Trios Pork Wonton Tacos,Appetizers,560,28,28,Applebee's
